trajectory_key,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,ego_progress,time_to_collision_within_bound,comfort,score,error
a85ffd3bc9775adb,True,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
74cf2bc3433f59dd,True,1.0,1.0,1.0,0.45703643481838996,1.0,1.0,0.7737651811743292,
804236dcfffa523e,True,1.0,1.0,1.0,0.37761948379683574,1.0,1.0,0.7406747849153482,
7c7c063205ec5f3c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
fef473f296d15eee,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
05fb38ec7e175ce3,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
e8ad4904c3d658bd,True,1.0,1.0,1.0,0.6878596154749362,1.0,1.0,0.8699415064478901,
35ae50756b8952b9,True,1.0,1.0,1.0,0.2990193686503804,1.0,0.0,0.5412580702709918,
4c37db4893c155d2,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
24108688ab4856ab,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
e6e4e254f1c55405,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334,
b3056d1269ae5df9,True,1.0,1.0,1.0,0.1998169069085511,1.0,1.0,0.666590377878563,
4e3aab178b035e85,True,1.0,1.0,1.0,0.3889411129075692,1.0,1.0,0.7453921303781539,
d063f70ffb44513e,True,1.0,1.0,1.0,0.39512409075920535,1.0,0.0,0.5813017044830022,
66f664c031765c74,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
045a93a43af35fd1,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
ff9d7c14934b541e,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
ed19f6a36af757b7,True,1.0,1.0,1.0,0.35698039005200155,1.0,0.0,0.5654084958550006,
4cee76c8118b5609,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
a412624e363853f0,True,1.0,1.0,1.0,0.2691715565341771,1.0,0.0,0.5288214818892404,
563f15ca855f541d,True,1.0,1.0,1.0,0.4259875315941044,1.0,1.0,0.7608281381642102,
4459594521595a93,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
93ded00411ba5505,True,1.0,1.0,1.0,0.09270534191854508,1.0,1.0,0.6219605591327272,
8339579a512e5ac0,True,1.0,1.0,1.0,0.14774135564830068,1.0,0.0,0.47822556485345863,
4c2d79a8bcc155bd,True,1.0,1.0,1.0,0.48637396978156366,1.0,1.0,0.7859891540756516,
9a00d37375a95d7e,True,1.0,1.0,1.0,0.4921537404137057,1.0,1.0,0.788397391839044,
41f5e95324715d0e,True,1.0,1.0,1.0,0.4315650356817224,1.0,1.0,0.7631520982007176,
e63b6dfddfc855da,True,1.0,1.0,1.0,0.32510455862934434,1.0,1.0,0.7187935660955601,
d7cc45e58d175329,True,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
3aa02e49724c5c4b,True,1.0,1.0,1.0,0.2091669759991732,1.0,1.0,0.6704862399996555,
b8819562a6ed5096,True,1.0,1.0,1.0,0.48491130710021096,1.0,1.0,0.7853797112917545,
8a6d53a0e36a599d,True,1.0,1.0,1.0,0.41923179949110567,0.0,0.0,0.17467991645462735,
f6d575d8e0a45772,True,1.0,1.0,1.0,0.3949758842255017,1.0,1.0,0.7479066184272923,
931c9ec2bfa55d47,True,1.0,1.0,1.0,0.12192072542120837,1.0,1.0,0.6341336355921702,
a87b2701a5c558f4,True,1.0,1.0,1.0,0.43051833687979674,1.0,0.0,0.5960493070332487,
c651cbad634b54f5,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
b04064e074f55bb0,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
020dee65dab453bb,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
0d0972c70bd955cc,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
2ad650691b5d58f0,True,1.0,1.0,1.0,0.5914560115468486,0.0,1.0,0.41310667147785357,
ada676e1203d5ad7,True,1.0,1.0,1.0,0.38405906016963015,1.0,1.0,0.7433579417373459,
3ae2ab1099d65c2a,True,1.0,1.0,1.0,0.39699802647595367,0.0,0.0,0.1654158443649807,
a472c2f69a3456f3,True,1.0,1.0,1.0,0.30961615679009685,1.0,0.0,0.5456733986625403,
f4da372227475285,True,1.0,1.0,1.0,0.4585590203171991,1.0,1.0,0.7743995917988329,
acd1fd0b50b659c8,True,1.0,1.0,1.0,0.947965486906811,1.0,1.0,0.9783189528778379,
ea34282dc63d5a9a,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
48bbe3acc93450aa,True,1.0,1.0,1.0,0.5386492162837738,1.0,1.0,0.8077705067849058,
5c57e87e3c2a5b09,True,1.0,1.0,1.0,0.693510996765091,1.0,1.0,0.8722962486521212,
66225fc71bd35554,True,1.0,1.0,1.0,0.4818868662674098,1.0,1.0,0.7841195276114208,
32de90ab38ad568a,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
7a6d3719323a5188,True,1.0,1.0,1.0,0.22683101285581325,1.0,0.0,0.5111795886899222,
cfafe7fdd6b15b4d,True,1.0,1.0,1.0,0.24025368169777567,1.0,0.0,0.5167723673740732,
e7ca264a0dd359f3,True,1.0,1.0,1.0,0.3203222944658096,1.0,0.0,0.550134289360754,
c46b2546f3565375,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
d1f968b127ae5f25,True,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
0779c5aaceda51b5,True,0.5,1.0,1.0,0.4104847186002618,0.0,1.0,0.16885098304172122,
821f5be699cd5942,True,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
786c49b2f19f54c0,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
4a7fd1bd37ed5463,True,1.0,1.0,1.0,0.2051213301384132,1.0,1.0,0.6688005542243388,
a38bd3c8068d5ebb,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
